
1	0.02548	-4.35637
1.28835	0.02616	-3.39999
1.65985	0.02674	-2.45112
2.13847	0.02731	-1.41552
2.7551	0.02808	-0.36862
3.54954	0.02913	0.67978
4.57305	0.03018	1.72143
5.8917	0.03173	2.77691
7.59057	0.03308	3.77641
9.77933	0.0355	4.58947
12.59921	0.03744	5.36728
16.23221	0.04029	5.91922
20.91279	0.04277	6.26038
26.94302	0.04487	6.50078
34.71208	0.04907	6.53104
44.72136	0.05253	6.21927
57.61683	0.05631	5.6604
74.23072	0.06088	4.78837
95.63525	0.06533	3.24142
123.21181	0.07002	1.27054
158.74011	0.07513	-1.16878
204.51304	0.08084	-4.40046
263.48466	0.08735	-8.45728
339.46083	0.09238	-12.65437
437.34483	0.09773	-17.54789
563.45382	0.10105	-22.5878
725.92652	0.10387	-27.21693
935.24845	0.10452	-31.14528
1204.92865	0.09521	-25.98794
1552.37151	0.11971	-32.07072
2000	0.11756	335.77399
